type,gene.name,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous,FOS,NM_005252.2,7367.7037037037035,3.875059339020081,0.3785592155901616,10.23633603260454,1.363007326299008e-24,8.491535642842819e-22
Endogenous,KLF4,NM_004235.4,852.0185185185185,1.7604225211346003,0.22684613734512726,7.760425377912721,8.464499658798197e-15,2.6366916437156386e-12
Endogenous,NR4A1,NM_173157.1,1095.351851851852,2.5894532069298064,0.3415628051309626,7.581192003435367,3.423944430972969e-14,7.110391268320532e-12
Endogenous,PLA2G2A,NM_000300.2,904.1296296296297,3.0718150517387577,0.4782159892834348,6.42348880124566,1.3318594715682897e-10,2.0743711269676114e-8
Endogenous,NR4A3,NM_173198.1,190.59259259259258,1.7102868788935512,0.271323527905521,6.303496390807285,2.91004991484543e-10,3.6259221938974054e-8
Endogenous,JUN,NM_002228.3,1590.0925925925926,1.415178852298811,0.24028426880048634,5.889602591811231,3.8712542291599905e-9,4.0196523079444565e-7
Endogenous,IGF1,NM_000618.3,830.7037037037037,2.056940837474279,0.3533165195342491,5.821807709941758,5.821450485598199e-9,5.062357084753998e-7
Endogenous,TSPAN7,NM_004615.3,178.75925925925927,1.6004140792582613,0.27577458106539665,5.8033415301562625,6.500619049443336e-9,5.062357084753998e-7
Endogenous,SPRY1,NM_005841.1,404.72222222222223,1.179866701027693,0.22832276181169375,5.1675386705455715,2.37196900797632e-7,1.6419296577436085e-5
Endogenous,LIFR,NM_002310.3,556.7037037037037,1.2494116535959203,0.2544871702404516,4.909527079166375,9.129629306193092e-7,5.6877590577582956e-5
Endogenous,PDGFD,NM_025208.4,502.9074074074074,1.4008199787976503,0.287460591573546,4.873085284941586,1.0986876431653016e-6,6.112115248928667e-5
Endogenous,STAT1,NM_007315.2,4969.62962962963,-1.1722962845628866,0.24124195108230137,-4.85942133738982,1.177293466888347e-6,6.112115248928667e-5
Endogenous,GADD45B,NM_015675.2,1992.5185185185185,1.101141895091453,0.2294583009238135,4.79887583346598,1.5955866943332444e-6,7.646542388997009e-5
Endogenous,NGFR,NM_002507.1,588.8148148148148,1.655321064511779,0.3462040669168804,4.781344942747893,1.7412628356290695e-6,7.748619618549359e-5
Endogenous,IL11RA,NM_147162.1,395.68518518518516,1.0664783343091142,0.22804912376378866,4.67652897194976,2.9177139460889427e-6,1.2118238589422741e-4
Endogenous,GADD45A,NM_001924.2,974.074074074074,0.952682068703534,0.20657561310192535,4.611783813191329,3.992280882985848e-6,1.4775156359512473e-4
Endogenous,SFRP4,NM_003014.2,2910.9444444444443,1.8881758596347502,0.4096057882442999,4.6097392024855655,4.031744110942408e-6,1.4775156359512473e-4
Endogenous,ZBTB16,NM_006006.4,335.24074074074076,2.0159623598467658,0.46687781102114534,4.317965669513176,1.5747391633325925e-5,5.450347215312251e-4
Endogenous,LEPR,NM_001003679.1,330.98148148148147,1.1574477874699476,0.2697281128282165,4.291164815315706,1.7773833084956923e-5,5.827946322067455e-4
Endogenous,GNG12,NM_018841.3,2489.425925925926,0.7951948010430465,0.18888985789657547,4.209833232435627,2.5555925484332926e-5,7.960670788369706e-4
Endogenous,SOCS3,NM_003955.3,1303.0185185185185,1.1073976006609367,0.2646997082860084,4.183599626276853,2.8692926018113995e-5,8.512234718707153e-4
Endogenous,IL1R1,NM_000877.2,745.2777777777778,0.8878799483777071,0.21732985686952389,4.085402535882378,4.4000467685231273e-05,0.0012460132439954129
Endogenous,FLNC,NM_001127487.1,356.94444444444446,1.296917178261837,0.3217478364972308,4.030849724992631,5.557556928132658e-5,0.001505373028794194
Endogenous,ITGA7,NM_002206.1,221.38888888888889,1.218606831839142,0.3066635597992566,3.9737581884096302,7.074739007115507e-5,0.0018364843339304002
Endogenous,SMAD3,NM_005902.3,1021.7777777777778,0.6214846602248468,0.1596623126879112,3.892494413754677,9.92187849406202e-5,0.0024725321207202558
Endogenous,DUSP2,NM_004418.3,188.2962962962963,0.8047192313744794,0.20799658917502448,3.8689059016122913,1.0932482047439188e-4,0.002619590890597928
Endogenous,TLR2,NM_003264.3,743.8333333333334,-0.7001130138462152,0.1814944364706651,-3.8574902209709014,1.1455726099032509e-4,0.0026433027258137972
Endogenous,EPHA2,NM_004431.2,311.05555555555554,0.6967842111553507,0.18399532594413645,3.786966911142646,1.5249739850643553e-4,0.0033930671167681906
Endogenous,ETS2,NM_005239.4,1731.8148148148148,0.6482736292528117,0.1723743578336362,3.7608472478167583,1.693388199165195e-4,0.003637864993379022
Endogenous,SOCS2,NM_003877.3,403.2962962962963,1.1243873801057258,0.3010973701224307,3.734298242620097,1.882393225336183e-4,0.0038614362323323697
Endogenous,ZAK,NM_016653.2,254.61111111111111,0.4883910262642739,0.13096648279938328,3.729129895107588,1.9214209181750154e-4,0.0038614362323323697
Endogenous,ETV7,NM_016135.2,268.537037037037,-0.9586954565656337,0.2640211060956002,-3.631131884655073,2.82180931113075e-4,0.005493710002607679
Endogenous,HSPA1A,NM_005345.5,4096.666666666667,1.176739613067097,0.32535532346789925,3.6167830313162175,2.9828712985747384e-4,0.005631299451551703
Endogenous,CACNA2D1,NM_000722.2,578.5370370370371,0.7709326473153115,0.22216939212963024,3.4700218600116246,5.204160077991407e-4,0.009535858025260725
Endogenous,RUNX1T1,NM_004349.2,412.7037037037037,1.0605144494973502,0.3082882201725567,3.4400096406659766,5.816934657916669e-4,0.010354143691091671
Endogenous,HGF,NM_000601.4,328.462962962963,1.0117480936271095,0.297981304621455,3.3953408416423936,6.854321255516057e-4,0.011319365389109487
Endogenous,MGMT,NM_002412.3,829.1111111111111,0.49404374097253034,0.1455452782694541,3.3944333120713566,6.877078672647411e-4,0.011319365389109487
Housekeeping,ZC3H14,NM_001160103.1,1024.4074074074074,0.3770049763389419,0.11110102872186968,3.3933527049757224,6.90426781358203e-4,0.011319365389109487
Endogenous,BMP8A,NM_181809.3,233.2962962962963,-0.8980274352237609,0.26601766785976505,-3.3758187659068146,7.359638154950077e-4,0.011756550180856149
Endogenous,SMAD9,NM_005905.2,170.53703703703704,0.7763461147923792,0.23186759072394442,3.3482303946336205,8.132936898932108e-4,0.012667049220086758
Endogenous,SOX17,NM_022454.3,145.66666666666666,0.8446718327212943,0.25411926064902846,3.323918976326219,8.876198024169934e-4,0.013487491144043583
Endogenous,SFN,NM_006142.3,2129.4444444444443,1.2888360208672087,0.3968012543157477,3.248064381978087,0.0011619297624322444,0.017235291476078295
